a,b,c,d,e
Udayshivakumar Infra Ltd,USK,USK,Civil Construction,https://halalstock.in/is-udayshivakumar-infra-ltd-halal-and-shariah-compliant/
UJAAS ENERGY LIMITED,UJAAS,,Electric Equipment,https://halalstock.in/is-ujaas-energy-limited-halal-and-shariah-compliant/
ULTRA WIRING,,UWCSL,Auto Ancillaries,https://halalstock.in/is-ultra-wiring-halal-and-shariah-compliant/
ULTRACAB (INDIA) LTD,ULTRACAB,,Cables - Power,https://halalstock.in/is-ultracab-india-ltd-halal-and-shariah-compliant/
ULTRAMARINE &amp; PIGMENTS LTD.,ULTRAMAR,,Dyes And Pigments,https://halalstock.in/is-ultramarine-pigments-ltd-halal-and-shariah-compliant/
ULTRATECH CEMENT LTD.,ULTRACEMCO,ULTRACEMCO,Cement - North India,https://halalstock.in/is-ultratech-cement-ltd-halal-and-shariah-compliant/
UMANG DAIRIES LTD.,UMANGDAIR,UMANGDAIRY,Food - Processing - Indian,https://halalstock.in/is-umang-dairies-ltd-halal-and-shariah-compliant/
Umiya Mobile Ltd,UML,,Speciality Retail,https://halalstock.in/is-umiya-mobile-ltd-halal-and-shariah-compliant/
UMIYA TUBES LTD,UMIYA,,Steel - Medium / Small,https://halalstock.in/is-umiya-tubes-ltd-halal-and-shariah-compliant/
UNI ABEX ALLOY PRODUCTS LTD.,UNIABEXAL,,Castings &amp; Forgings,https://halalstock.in/is-uni-abex-alloy-products-ltd-halal-and-shariah-compliant/
UNICHEM LABORATORIES LTD.,UNICHEMLAB,UNICHEMLAB,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-unichem-laboratories-ltd-halal-and-shariah-compliant/
Unicommerce Esolutions Limited,UNIECOM,UNIECOM,Software Products,https://halalstock.in/is-unicommerce-esolutions-limited-halal-and-shariah-compliant/
Unified Data- Tech Solutions Ltd,UNIFIED,,IT Enabled Services,https://halalstock.in/is-unified-data-tech-solutions-ltd-halal-and-shariah-compliant/
Unihealth Consultancy Ltd,,UNIHEALTH,Hospital,https://halalstock.in/is-unihealth-consultancy-ltd-halal-and-shariah-compliant/
UNIINFO TELECOM,,UNIINFO,Telecommunications - Service Provider,https://halalstock.in/is-uniinfo-telecom-halal-and-shariah-compliant/
Unilex Colours and Chemicals Limited,,UNILEX,Dyes And Pigments,https://halalstock.in/is-unilex-colours-and-chemicals-limited-halal-and-shariah-compliant/
Uniparts India Ltd,UNIPARTS,UNIPARTS,Industrial Products,https://halalstock.in/is-uniparts-india-ltd-halal-and-shariah-compliant/
UNIPHOS ENTERPRISES LTD.,UNIPHOS,UNIENTER,Trading,https://halalstock.in/is-uniphos-enterprises-ltd-halal-and-shariah-compliant/
UNIQUE ORGANICS LTD.,UNIQUEO,,Food - Processing - Indian,https://halalstock.in/is-unique-organics-ltd-halal-and-shariah-compliant/
United Cotfab Ltd,COTFAB,,Other Textile Products,https://halalstock.in/is-united-cotfab-ltd-halal-and-shariah-compliant/
UNITED DRILLING TOOLS LTD.,UNIDT,UNIDT,Engineering,https://halalstock.in/is-united-drilling-tools-ltd-halal-and-shariah-compliant/
United Heat Transfer Limited,,UHTL,Other Industrial Products,https://halalstock.in/is-united-heat-transfer-limited-halal-and-shariah-compliant/
UNITED NILGIRI,,UNITEDTEA,Tea,https://halalstock.in/is-united-nilgiri-halal-and-shariah-compliant/
UNITED VAN DER HORST LTD.,UVDRHOR,,Miscellaneous,https://halalstock.in/is-united-van-der-horst-ltd-halal-and-shariah-compliant/
Univa Foods Ltd,UNIVAFOODS,,Hotels,https://halalstock.in/is-univa-foods-ltd-halal-and-shariah-compliant/
UNIVASTU INDIA,,UNIVASTU,Construction,https://halalstock.in/is-univastu-india-halal-and-shariah-compliant/
UNIVERSAL OFFICE AUTOMATION LTD.,UNIOFFICE,,Trading,https://halalstock.in/is-universal-office-automation-ltd-halal-and-shariah-compliant/
UNIVERSUS PHOTO IMAGINGS LTD,UNIVPHOTO,UNIVPHOTO,Photographic And Allied Products,https://halalstock.in/is-universus-photo-imagings-ltd-halal-and-shariah-compliant/
UNJHA FORMULATIONS LTD.,UNJHAFOR,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-unjha-formulations-ltd-halal-and-shariah-compliant/
UNO Minda Limited,UNOMINDA,UNOMINDA,Auto Components &amp; Equipments,https://halalstock.in/is-uno-minda-limited-halal-and-shariah-compliant/
Updater Services Ltd,UDS,UDS,Diversified Commercial Services,https://halalstock.in/is-updater-services-ltd-halal-and-shariah-compliant/
Upsurge Seeds,,USASEEDS,Miscellaneous,https://halalstock.in/is-upsurge-seeds-halal-and-shariah-compliant/
UR Sugar Industries Ltd,URSUGAR,,Trading,https://halalstock.in/is-ur-sugar-industries-ltd-halal-and-shariah-compliant/
URAVI T AND WEDGE LAMPS LIMITED,,URAVI,Auto Ancillaries,https://halalstock.in/is-uravi-t-and-wedge-lamps-limited-halal-and-shariah-compliant/
Urban Enviro Waste Management Ltd,,URBAN,Waste Management,https://halalstock.in/is-urban-enviro-waste-management-ltd-halal-and-shariah-compliant/
URJA GLOBAL LTD.,URJAGLOBA,URJA,Trading,https://halalstock.in/is-urja-global-ltd-halal-and-shariah-compliant/
USHA MARTIN LTD.,USHAMART,USHAMART,Steel - Medium / Small,https://halalstock.in/is-usha-martin-ltd-halal-and-shariah-compliant/
Utssav CZ Gold Jewels Limited,,UTSSAV,"Gems, Jewellery And Watches",https://halalstock.in/is-utssav-cz-gold-jewels-limited-halal-and-shariah-compliant/
UTTAM SUGAR MILLS LTD.,UTTAMSUGAR,UTTAMSUGAR,Sugar,https://halalstock.in/is-uttam-sugar-mills-ltd-halal-and-shariah-compliant/
V R INFRASPACE LIMITED,,VR,Construction,https://halalstock.in/is-v-r-infraspace-limited-halal-and-shariah-compliant/
V.I.P.INDUSTRIES LTD.,VIPIND,VIPIND,Moulded Luggage,https://halalstock.in/is-v-i-p-industries-ltd-halal-and-shariah-compliant/
V.S.T.TILLERS TRACTORS LTD.,VSTTILLERS,VSTTILLERS,Automobiles - Tractors,https://halalstock.in/is-v-s-t-tillers-tractors-ltd-halal-and-shariah-compliant/
VA TECH WABAG LTD.,WABAG,WABAG,Engineering,https://halalstock.in/is-va-tech-wabag-ltd-halal-and-shariah-compliant/
VADILAL ENTERPRISES LTD.,VADILENT,,Trading,https://halalstock.in/is-vadilal-enterprises-ltd-halal-and-shariah-compliant/
VADILAL INDUSTRIES LTD.,VADILALIND,VADILALIND,Food - Processing - Indian,https://halalstock.in/is-vadilal-industries-ltd-halal-and-shariah-compliant/
VAIBHAV GLOBAL LTD,VAIBHAVGBL,VAIBHAVGBL,Diamond Cutting / Jewellery,https://halalstock.in/is-vaibhav-global-ltd-halal-and-shariah-compliant/
Vaidya Sane Ayurved Laboratories Limited,,MADHAVBAUG,Healthcare,https://halalstock.in/is-vaidya-sane-ayurved-laboratories-limited-halal-and-shariah-compliant/
VAISHALI PHARMA,,VAISHALI,Trading,https://halalstock.in/is-vaishali-pharma-halal-and-shariah-compliant/
VAKSONS AUTOMOBILES LTD,VAL,,Trading,https://halalstock.in/is-vaksons-automobiles-ltd-halal-and-shariah-compliant/
Valencia India Ltd,VALINDIA,,Hotels &amp; Resorts,https://halalstock.in/is-valencia-india-ltd-halal-and-shariah-compliant/
Valiant Laboratories Ltd,VALIANTLAB,VALIANTLAB,Commodity Chemicals,https://halalstock.in/is-valiant-laboratories-ltd-halal-and-shariah-compliant/
VALIANT ORGANICS LTD,VALIANTORG,VALIANTORG,Chemicals,https://halalstock.in/is-valiant-organics-ltd-halal-and-shariah-compliant/
VALOR ESTATE LIMITED,DBREALTY,DBREALTY,Construction,https://halalstock.in/is-d-b-realty-ltd-halal-and-shariah-compliant/
Valplast Technologies Ltd.,VALPLAST,,Civil Construction,https://halalstock.in/is-valplast-technologies-ltd-halal-and-shariah-compliant/
VAMA INDUSTRIES LTD.,VAMA,,Trading,https://halalstock.in/is-vama-industries-ltd-halal-and-shariah-compliant/
VARANIUM CLOUD LIMITED,,CLOUD,Other Telecom Services,https://halalstock.in/is-varanium-cloud-limited-halal-and-shariah-compliant/
VARDHMAN ACRYLIC,,VARDHACRLC,Textiles - Manmade,https://halalstock.in/is-vardhman-acrylic-halal-and-shariah-compliant/
VARDHMAN POLYTEX LTD.,VARDMNPOLY,VARDMNPOLY,Textiles - Cotton/Blended,https://halalstock.in/is-vardhman-polytex-ltd-halal-and-shariah-compliant/
VARDHMAN SPECIAL STEELS LTD.,VSSL,VSSL,Steel - Medium / Small,https://halalstock.in/is-vardhman-special-steels-ltd-halal-and-shariah-compliant/
VARDHMAN TEXTILES LTD.,VTL,VTL,Textiles - Cotton/Blended,https://halalstock.in/is-vardhman-textiles-ltd-halal-and-shariah-compliant/
VARIMAN GLOBAL ENTERPRISES LTD,VARIMAN,,Construction,https://halalstock.in/is-variman-global-enterprises-ltd-halal-and-shariah-compliant/
VARROC ENGINEERING LTD,VARROC,VARROC,Auto Ancillaries,https://halalstock.in/is-varroc-engineering-ltd-halal-and-shariah-compliant/
VARUN BEVERAGES LTD,VBL,VBL,Food - Processing - Indian,https://halalstock.in/is-varun-beverages-ltd-halal-and-shariah-compliant/
VARVEE GLOBAL LIMITED,VGL,VGL,Textiles - Cotton/Blended,https://halalstock.in/is-varvee-global-limited-halal-and-shariah-compliant/
Varyaa Creations Ltd,VARYAA,,"Gems, Jewellery And Watches",https://halalstock.in/is-varyaa-creations-ltd-halal-and-shariah-compliant/
Vasa Denticity Ltd,,DENTALKART,Medical Equipment &amp; Supplies,https://halalstock.in/is-vasa-denticity-ltd-halal-and-shariah-compliant/
VASCON ENGINEERS LTD,VASCONEQ,VASCONEQ,Construction,https://halalstock.in/is-vascon-engineers-ltd-halal-and-shariah-compliant/
Vashishtha Luxury Fashion ltd,VASHISHTHA,,Garments &amp; Apparels,https://halalstock.in/is-vashishtha-luxury-fashion-ltd-halal-and-shariah-compliant/
VAXTEX COTFAB,,VCL,Trading,https://halalstock.in/is-vaxtex-cotfab-halal-and-shariah-compliant/
VCU DATA MANAGEMENT LTD,VCU,,Trading,https://halalstock.in/is-vcu-data-management-ltd-halal-and-shariah-compliant/
Vdeal System Limited,,VEDAL,Other Electrical Equipment,https://halalstock.in/is-vdeal-system-limited-halal-and-shariah-compliant/
Vedant Fashions Ltd,MANYAVAR,MANYAVAR,Specialty Retail,https://halalstock.in/is-vedant-fashions-ltd-halal-and-shariah-compliant/
Veedol Corporation Limited,VEEDOL,VEEDOL,Chemicals,https://halalstock.in/is-veedol-corporation-limited-halal-and-shariah-compliant/
VEER GLOBAL INFRACONSTRUCTION LTD,VGIL,,Construction,https://halalstock.in/is-veer-global-infraconstruction-ltd-halal-and-shariah-compliant/
Veeram Securities Ltd,VSL,,"Gems, Jewellery And Watches",https://halalstock.in/is-vera-synthetic-halal-and-shariah-compliant/
VEERHEALTH CARE LIMITED,VEERHEALTH,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-veerhealth-care-limited-halal-and-shariah-compliant/
VELJAN DENISON LIMITED,VELJAN,,Engineering,https://halalstock.in/is-veljan-denison-limited-halal-and-shariah-compliant/
VENKY'S (INDIA) LTD.,VENKYS,VENKEYS,Miscellaneous,https://halalstock.in/is-venkys-india-ltd-halal-and-shariah-compliant/
Venus Pipes &amp; Tubes Ltd,VENUSPIPES,VENUSPIPES,Iron &amp; Steel Products,https://halalstock.in/is-venus-pipes-tubes-ltd-halal-and-shariah-compliant/
VENUS REMEDIES LTD.,VENUSREM,VENUSREM,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-venus-remedies-ltd-halal-and-shariah-compliant/
Veranda Learning Solutions Ltd,VERANDA,VERANDA,E-Learning,https://halalstock.in/is-veranda-learning-solutions-ltd-halal-and-shariah-compliant/
VERITAAS ADVERTISING LIMITED,,VERTAAS,Advertising &amp; Media Agencies,https://halalstock.in/is-veritaas-advertising-limited-halal-and-shariah-compliant/
VERITAS (INDIA) LTD.,VERITAS,,Trading,https://halalstock.in/is-veritas-india-ltd-halal-and-shariah-compliant/
Vertexplus Technologies Ltd,,VERTEXPLUS,IT Enabled Services,https://halalstock.in/is-vertexplus-technologies-ltd-halal-and-shariah-compliant/
VERTOZ ADVERTIS.,,VERTOZ,Miscellaneous,https://halalstock.in/is-vertoz-advertis-halal-and-shariah-compliant/
VESUVIUS INDIA LTD.,VESUVIUS,VESUVIUS,Refractories / Intermediates,https://halalstock.in/is-vesuvius-india-ltd-halal-and-shariah-compliant/
VETO SWITCHGEARS AND CABLES LTD,VETO,VETO,Electric Equipment,https://halalstock.in/is-veto-switchgears-and-cables-ltd-halal-and-shariah-compliant/
V-GUARD INDUSTRIES LTD.,VGUARD,VGUARD,Electric Equipment,https://halalstock.in/is-v-guard-industries-ltd-halal-and-shariah-compliant/
Viaz Tyres Ltd,,VIAZ,Tyres &amp; Rubber Products,https://halalstock.in/is-viaz-tyres-ltd-halal-and-shariah-compliant/
Vibhor Steel Tubes Ltd,VSTL,VSTL,Iron &amp; Steel Products,https://halalstock.in/is-vibhor-steel-tubes-ltd-halal-and-shariah-compliant/
VICEROY HOTELS LTD.,VHLTD,VHLTD,Hotels,https://halalstock.in/is-viceroy-hotels-ltd-halal-and-shariah-compliant/
VICTORIA MILLS LTD.,VICTMILL,,Construction,https://halalstock.in/is-victoria-mills-ltd-halal-and-shariah-compliant/
VIDHI SPECIALTY FOOD INGREDIENTS LTD,VIDHIING,VIDHIING,Dyes And Pigments,https://halalstock.in/is-vidhi-specialty-food-ingredients-ltd-halal-and-shariah-compliant/
Vigor Plast India Ltd,,VIGOR,Plastic Products - Industrial,https://halalstock.in/is-vigor-plast-india-ltd-halal-and-shariah-compliant/
VIJAY SOLVEX LTD.,VIJSOLX,,Solvent Extraction,https://halalstock.in/is-vijay-solvex-ltd-halal-and-shariah-compliant/
VIJAYA DIAGNOSTIC CENTRE LIMITED,VIJAYA,VIJAYA,HEALTHCARE SERVICE PROVIDERS,https://halalstock.in/is-vijaya-diagnostic-centre-limited-halal-and-shariah-compliant/
Vijaypd Ceutical Ltd.,,VIJAYPD,Heavy Electrical Equipment,https://halalstock.in/is-vijaypd-ceutical-ltd-halal-and-shariah-compliant/
VIKAS ECOTECH LTD,VIKASECO,VIKASECO,Plastics Products,https://halalstock.in/is-vikas-ecotech-ltd-halal-and-shariah-compliant/
VIKAS LIFECARE LTD,VIKASLIFE,VIKASLIFE,Trading,https://halalstock.in/is-vikas-lifecare-ltd-halal-and-shariah-compliant/
Vikram Solar Ltd,VIKRAMSOLR,VIKRAMSOLR,Other Electrical Equipment,https://halalstock.in/is-vikram-solar-ltd-halal-and-shariah-compliant/
VIKRAM THERMO (INDIA) LTD.,VIKRAMTH,,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-vikram-thermo-india-ltd-halal-and-shariah-compliant/
Vikran Engineering Limited,VIKRAN,VIKRAN,Civil Construction,https://halalstock.in/is-vikran-engineering-limited-halal-and-shariah-compliant/
VILAS TRANSCORE LIMITED,,VILAS,Other Industrial Products,https://halalstock.in/is-vilas-transcore-limited-halal-and-shariah-compliant/
Vilin Bio Med Ltd,,VILINBIO,Pharmaceuticals,https://halalstock.in/is-vilin-bio-med-ltd-halal-and-shariah-compliant/
VIMTA LABS LTD.,VIMTALABS,VIMTALABS,Miscellaneous,https://halalstock.in/is-vimta-labs-ltd-halal-and-shariah-compliant/
VINATI ORGANICS LTD.,VINATIORGA,VINATIORGA,Chemicals,https://halalstock.in/is-vinati-organics-ltd-halal-and-shariah-compliant/
VINDHYA TELELINKS LTD.,VINDHYATEL,VINDHYATEL,Cables - Telephone,https://halalstock.in/is-vindhya-telelinks-ltd-halal-and-shariah-compliant/
Vinny Overseas Ltd,VINNY,VINNY,Garments &amp; Apparels,https://halalstock.in/is-vinny-overseas-ltd-halal-and-shariah-compliant/
Vinsys IT Services India Ltd,,VINSYS,Education,https://halalstock.in/is-vinsys-it-services-india-ltd-halal-and-shariah-compliant/
VINTRON INFORMATICS LTD.,VINTRON,,Computers - Hardware,https://halalstock.in/is-vintron-informatics-ltd-halal-and-shariah-compliant/
Vinyas Innovative Technologies Ltd,,VINYAS,Industrial Products,https://halalstock.in/is-vinyas-innovative-technologies-ltd-halal-and-shariah-compliant/
VINYL CHEMICALS (INDIA) LTD.,VINYLINDIA,VINYLINDIA,Trading,https://halalstock.in/is-vinyl-chemicals-india-ltd-halal-and-shariah-compliant/
VINYOFLEX LTD.,VINYOFL,,Plastics Products,https://halalstock.in/is-vinyoflex-ltd-halal-and-shariah-compliant/
VIP CLOTHING LTD,VIPCLOTHNG,VIPCLOTHNG,Textiles - Products,https://halalstock.in/is-vip-clothing-ltd-halal-and-shariah-compliant/
VIPUL ORGANICS LTD,VIPULORG,,Dyes And Pigments,https://halalstock.in/is-vipul-organics-ltd-halal-and-shariah-compliant/
VIRAT CRANE INDUSTRIES LTD.,VIRATCRA,,Food - Processing - Indian,https://halalstock.in/is-virat-crane-industries-ltd-halal-and-shariah-compliant/
VIRAT INDUSTRIES LTD.,VIRAT,,Textiles - Products,https://halalstock.in/is-virat-industries-ltd-halal-and-shariah-compliant/
Virtual Galaxy Infotech Ltd,,VGINFOTECH,Software Products,https://halalstock.in/is-virtual-galaxy-infotech-ltd-halal-and-shariah-compliant/
Virtuoso Optoelectronics Ltd,VOEPL,,Diversified consumer products,https://halalstock.in/is-virtuoso-optoelectronics-ltd-halal-and-shariah-compliant/
VISAKA INDUSTRIES LTD.,VISAKAIND,VISAKAIND,Cement Products,https://halalstock.in/is-visaka-industries-ltd-halal-and-shariah-compliant/
VISAMAN GLOBAL SALES LIMITED,,VISAMAN,Iron &amp; Steel Products,https://halalstock.in/is-visaman-global-sales-limited-halal-and-shariah-compliant/
VISESH INFOTECNICS LTD.,VISESHINFO,VISESHINFO,Computers - Software - Medium / Small,https://halalstock.in/is-visesh-infotecnics-ltd-halal-and-shariah-compliant/
Vishal Mega Mart Limited,VMM,VMM,Diversified Retail,https://halalstock.in/is-vishal-mega-mart-limited-halal-and-shariah-compliant/
VISHNU CHEMICALS LTD.,VISHNU,VISHNU,Chemicals,https://halalstock.in/is-vishnu-chemicals-ltd-halal-and-shariah-compliant/
Vishnu Prakash R Punglia Ltd,VPRPL,VPRPL,Civil Construction,https://halalstock.in/is-vishnu-prakash-r-punglia-ltd-halal-and-shariah-compliant/
Vishnusurya Projects and Infra Ltd,,VISHNUINFR,Other Construction Materials,https://halalstock.in/is-vishnusurya-projects-and-infra-ltd-halal-and-shariah-compliant/
VISTA PHARMACEUTICALS LTD.,VISTAPH,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-vista-pharmaceuticals-ltd-halal-and-shariah-compliant/
Vital Chemtech Ltd,,VITAL,Specialty Chemicals,https://halalstock.in/is-vital-chemtech-ltd-halal-and-shariah-compliant/
Vivaa Tradecom Ltd,VIVAA,,Trading-Textile Products,https://halalstock.in/is-vivaa-tradecom-ltd-halal-and-shariah-compliant/
Viviana Power,,VIVIANA,Transmisson Line Towers / Equipment,https://halalstock.in/is-viviana-power-halal-and-shariah-compliant/
VIVID GLOBAL INDUSTRIES LTD.,VIVIDIND,,Dyes And Pigments,https://halalstock.in/is-vivid-global-industries-ltd-halal-and-shariah-compliant/
VIVID MERCANTILE LTD,VIVIDM,,Trading,https://halalstock.in/is-vivid-mercantile-ltd-halal-and-shariah-compliant/
VIVO COLLABORATION SOLUTIONS LIMITED,,VIVO,Other Telecom Services,https://halalstock.in/is-vivo-collaboration-solutions-limited-halal-and-shariah-compliant/
VKJ INFRADEVELOPERS LTD,VKJINFRA,,Construction,https://halalstock.in/is-vkj-infradevelopers-ltd-halal-and-shariah-compliant/
VL E-GOVERNANCE &amp; IT SOLUTIONS LIMITED,,VLEGOV,IT Enabled Services,https://halalstock.in/is-vl-e-governance-it-solutions-limited-halal-and-shariah-compliant/
V-MART RETAIL LTD.,VMART,VMART,Trading,https://halalstock.in/is-v-mart-retail-ltd-halal-and-shariah-compliant/
Voler Car Limited,,VOLERCAR,Road Transport,https://halalstock.in/is-voler-car-limited-halal-and-shariah-compliant/
VOLTAMP TRANSFORMERS LTD.,VOLTAMP,VOLTAMP,Electric Equipment,https://halalstock.in/is-voltamp-transformers-ltd-halal-and-shariah-compliant/
VOLTAS LTD.,VOLTAS,VOLTAS,Air-conditioners,https://halalstock.in/is-voltas-ltd-halal-and-shariah-compliant/
VRAJ IRON AND STEEL LIMITED,VRAJ,VRAJ,Iron &amp; Steel Products,https://halalstock.in/is-vraj-iron-and-steel-limited-halal-and-shariah-compliant/
VRL LOGISTICS LTD,VRLLOG,VRLLOG,Miscellaneous,https://halalstock.in/is-vrl-logistics-ltd-halal-and-shariah-compliant/
VRUDDHI ENGINEERING WORKS LIMITED,VRUDDHI,,Industrial Products,https://halalstock.in/is-vruddhi-engineering-works-limited-halal-and-shariah-compliant/
Vrundavan Plantation Ltd,VPL,,Diversified Commercial Services,https://halalstock.in/is-vrundavan-plantation-ltd-halal-and-shariah-compliant/
VTM LTD.,VTMLTD,,Textiles - Processing,https://halalstock.in/is-vtm-ltd-halal-and-shariah-compliant/
VVIP Infratech Ltd,VVIPIL,,Waste Management,https://halalstock.in/is-vvip-infratech-ltd-halal-and-shariah-compliant/
W.H.BRADY &amp; CO.LTD.,WHBRADY,,Trading,https://halalstock.in/is-w-h-brady-co-ltd-halal-and-shariah-compliant/
W.S.INDUSTRIES (INDIA) LTD.,WSI,WSI,Construction,https://halalstock.in/is-w-s-industries-india-ltd-halal-and-shariah-compliant/
Waaree Energies Limited,WAAREEENER,WAAREEENER,Other Electrical Equipment,https://halalstock.in/is-waaree-energies-limited-halal-and-shariah-compliant/
WAAREE RENEWABLE TECHNOLOGIES LTD,WAAREERTL,,Power Generation And Supply,https://halalstock.in/is-waaree-renewable-technologies-ltd-halal-and-shariah-compliant/
WAAREE TECHNOLOGIES LTD,WAAREE,,Packaging,https://halalstock.in/is-waaree-technologies-ltd-halal-and-shariah-compliant/
